Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
7/3/2017,Monday,1241.6,1242.7,1218.2,1219.8,23.1,1219.2,4004,1893
6/30/2017,Friday,1245.3,1248.4,1239.1,1241.2,3.5,1242.3,2337,2008
6/29/2017,Thursday,1249.6,1253.1,1239.4,1245.5,3.3,1245.8,3935,1753
6/28/2017,Wednesday,,,,,1.6,1248,0,271
6/27/2017,Tuesday,1254.2,1255.5,1254.2,1255.5,0.1,1246.4,4,275
6/26/2017,Monday,1245,1245,1245,1245,,1246.3,1,276
6/23/2017,Friday,,1255.3,,1255.3,8.6,1256.2,10,286
6/22/2017,Thursday,1252.3,1252.3,1250,1250,4.2,1247.6,3,287
6/21/2017,Wednesday,1243,1243,1243,1243,2.4,1243.4,3,287
6/20/2017,Tuesday,,,,,3.2,1241,0,287
6/19/2017,Monday,1246.5,1247,1246.5,1247,9.8,1244.2,15,288
6/16/2017,Friday,,,,,1.8,1254,0,288
6/15/2017,Thursday,1260,1260,1255,1255,20.6,1252.2,4,290
6/14/2017,Wednesday,1266,1266,1266,1266,7,1272.8,1,291
6/13/2017,Tuesday,,,,,0.3,1265.8,0,291
6/12/2017,Monday,1265,1269.6,1264.6,1269.3,2.4,1266.1,19,294
6/9/2017,Friday,1281,1281,1276.6,1276.6,7.8,1268.5,2,294
6/8/2017,Thursday,1275,1275,1275,1275,13.8,1276.3,1,294
6/7/2017,Wednesday,1293.4,1293.4,1290,1290,4.3,1290.1,2,294
6/6/2017,Tuesday,1298.4,1298.4,1291.1,1294.9,15.1,1294.4,7,295
6/5/2017,Monday,,,,,2.5,1279.3,0,295
6/2/2017,Friday,1263.7,1281.9,1263.7,1281.9,9.8,1276.8,5,296
6/1/2017,Thursday,1269,1271.1,1262.4,1262.4,5,1267,84,330
5/31/2017,Wednesday,1261.9,1272,1261.9,1269,9.9,1272,19,375
5/30/2017,Tuesday,1267.6,1269.8,1257,1261.4,6,1262.1,1120,1347
5/26/2017,Friday,1254.7,1269.2,1252.7,1267.3,11.7,1268.1,2900,1537
5/25/2017,Thursday,1258.5,1259.6,1253.5,1255.2,3.3,1256.4,2276,1638
5/24/2017,Wednesday,1250.3,1259,1247.7,1258.4,2.4,1253.1,3263,1859
5/23/2017,Tuesday,1260.3,1264,1250.6,1251.1,5.9,1255.5,3130,1742
5/22/2017,Monday,1258,1262.5,1251.5,1260.5,7.8,1261.4,2473,1908
5/19/2017,Friday,1246.4,1256.3,1246.2,1255.7,0.8,1253.6,2872,2064
5/18/2017,Thursday,1261.4,1264.9,1245.7,1246.8,5.9,1252.8,5757,1813
5/17/2017,Wednesday,1236,1261.5,1236,1261.3,22.3,1258.7,4988,2402
5/16/2017,Tuesday,1231.3,1239.2,1230.2,1236.8,6.4,1236.4,2524,2557
5/15/2017,Monday,1228.8,1237.4,1226.9,1230.3,2.3,1230,2847,2471
5/12/2017,Friday,1225,1231.6,1224.4,1227.9,3.5,1227.7,2294,2419
5/11/2017,Thursday,1218.9,1227.8,1217.1,1224.9,5.3,1224.2,2492,2523
5/10/2017,Wednesday,1221.1,1225.7,1217.5,1219,2.8,1218.9,2535,2490
5/9/2017,Tuesday,1226.3,1228.7,1214.1,1221.2,11,1216.1,3600,2293
5/8/2017,Monday,1224.4,1236.9,1220.2,1226.2,0.2,1227.1,3399,2094
5/5/2017,Friday,1228.4,1235.9,1226.4,1228.5,1.7,1226.9,3139,2156
5/4/2017,Thursday,1238.7,1241.6,1225.8,1228.4,19.9,1228.6,4362,1823
5/3/2017,Wednesday,1257.8,1257.8,1236.5,1238.6,8.5,1248.5,3709,1560
5/2/2017,Tuesday,1257.2,1258.7,1252.7,1257.9,1.5,1257,1953,1563
5/1/2017,Monday,1269.6,1272.6,1255,1257.5,12.8,1255.5,3749,1490
4/28/2017,Friday,1265.3,1269.9,1264.4,1269.3,2.4,1268.3,2409,1446
4/27/2017,Thursday,1270.4,1270.9,1262.2,1265.4,1.7,1265.9,2920,1394
4/26/2017,Wednesday,,,,,3.5,1262.1,0,220
4/25/2017,Tuesday,1269.4,1271.2,1268.6,1268.6,10.2,1265.6,6,226
4/24/2017,Monday,1278.7,1278.7,1278.7,1278.7,11.6,1275.8,1,227
4/21/2017,Friday,,,,,5.5,1287.4,0,227
4/20/2017,Thursday,1282.3,1282.3,1282.3,1282.3,0.5,1281.9,1,228
4/19/2017,Wednesday,,,,,10.3,1281.4,0,228
4/18/2017,Tuesday,,,,,2.3,1291.7,0,228
4/17/2017,Monday,1291.5,1291.5,1288.3,1288.3,3.5,1289.4,3,230
4/13/2017,Thursday,1284.8,1289.3,1284.8,1289.3,10.6,1285.9,3,231
4/12/2017,Wednesday,1276.5,1287.4,1276.5,1286.5,4.1,1275.3,3,233
4/11/2017,Tuesday,1276.5,1276.8,1276.5,1276.8,20.1,1271.2,3,234
4/10/2017,Monday,1251.7,1256.4,1251.7,1256.4,3.2,1251.1,2,235
4/7/2017,Friday,1263,1269,1256,1256,4,1254.3,7,235
4/6/2017,Thursday,1255,1255,1255,1255,4.9,1250.3,1,236
4/5/2017,Wednesday,1255.6,1255.6,1248.9,1248.9,9.6,1245.4,4,239
4/4/2017,Tuesday,1256.7,1260,1253.4,1258,4.2,1255,7,243
4/3/2017,Monday,1250.5,1254.1,1247.5,1252.8,3.5,1250.8,18,256
3/31/2017,Friday,1244.8,1248.5,1240.1,1248.5,2.3,1247.3,67,307
3/30/2017,Thursday,1252.6,1253.2,1240.6,1241.4,8.7,1245,493,1708
3/29/2017,Wednesday,1251.3,1254.2,1247.1,1253,1.9,1253.7,1582,1501
3/28/2017,Tuesday,1253.8,1258.4,1247.5,1251.5,0.1,1255.6,2661,1793
3/27/2017,Monday,1245,1260.9,1244.3,1254.3,7.2,1255.7,3255,1705
3/24/2017,Friday,1245.2,1251.7,1240.6,1243.2,1.3,1248.5,2836,1674
3/23/2017,Thursday,1248.6,1253.2,1242.8,1245.1,2.5,1247.2,2964,1768
3/22/2017,Wednesday,1244.7,1251.3,1243.9,1248.8,3.2,1249.7,2372,1721
3/21/2017,Tuesday,1233.5,1247.7,1226.7,1244.8,12.5,1246.5,3544,1523
3/20/2017,Monday,1228.7,1235.4,1226.5,1234.1,3.8,1234,1660,1489
3/17/2017,Friday,1226.1,1231.5,1224.2,1229.1,3.1,1230.2,2122,1452
3/16/2017,Thursday,1218.1,1233.8,1218,1226.2,26.4,1227.1,3719,1754
3/15/2017,Wednesday,1198.4,1221.8,1197.1,1219.2,1.9,1200.7,4181,1851
